"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Bracoviriform",0,170,0,1877,1,1
"Bracovirus",0,170,0,1877,1,1
"Bradymonas",0,170,0,1877,1,1
"Bremerella",0,170,0,1877,1,1
"Brenneria",1,169,2,1875,0.229129201582681,1
"Breoghania",0,170,4,1873,1,1
"Brevefilum",0,170,0,1877,1,1
"Brevidensovirus",0,170,0,1877,1,1
"Breznakiella",2,168,3,1874,0.058002903574773,0.732660266430438
"Brigitvirus",0,170,2,1875,1,1
"Bromovirus",0,170,0,1877,1,1
"Bronlikevirus",0,170,0,1877,1,1
"Brooklawnia",0,170,1,1876,1,1
"Brucella",33,137,282,1595,0.148123275181777,1
"Brucepastera",9,161,4,1873,8.20991311850609e-08,5.82903831413933e-06
"Brussowvirus",0,170,0,1877,1,1
"Bryobacter",0,170,0,1877,1,1
"Buchavirus",0,170,1,1876,1,1
"Buchnera",104,66,763,1114,3.7843032806437e-07,2.50773164063989e-05
"Buhlduvirus",0,170,0,1877,1,1
"Bulleidia",26,144,14,1863,1.06904540288915e-19,2.65657782617953e-17
"Buorbuivirus",0,170,0,1877,1,1
"Burrovirus",0,170,0,1877,1,1
"Burzaovirus",0,170,1,1876,1,1
"Buttiauxella",0,170,2,1875,1,1
"Butyricicoccus",0,170,0,1877,1,1
"Butyricimonas",5,165,71,1806,0.831105296767594,1
"Butyrivibrio",16,154,42,1835,9.25244874662245e-06,0.000418042457006487
"Bymovirus",0,170,0,1877,1,1
"C2likevirus",0,170,0,1877,1,1
"C5likevirus",0,170,0,1877,1,1
"Caballeronia",6,164,40,1837,0.270622655131886,1
"Cacepaovirus",0,170,0,1877,1,1
"Caedibacter",0,170,0,1877,1,1
"Caelumvirus",0,170,0,1877,1,1
"Caenibius",3,167,15,1862,0.183387308409798,1
"Caenimonas",0,170,0,1877,1,1
"Caenispirillum",0,170,0,1877,1,1
"Caeruleovirus",0,170,0,1877,1,1
"Cafeteriavirus",0,170,0,1877,1,1
"Caldalkalibacillus",0,170,0,1877,1,1
"Caldanaerobacter",0,170,0,1877,1,1
"Caldanaerobius",0,170,0,1877,1,1
"Caldibacillus",0,170,1,1876,1,1
"Caldicellulosiruptor",6,164,4,1873,4.77423245600869e-05,0.00169485252188308
"Caldichromatium",0,170,2,1875,1,1
"Caldicoprobacter",0,170,0,1877,1,1
"Caldilinea",0,170,0,1877,1,1
"Caldimicrobium",0,170,0,1877,1,1
"Caldimonas",5,165,59,1818,1,1
"Caldinitratiruptor",1,169,3,1874,0.293242721998994,1
"Caldisericum",0,170,0,1877,1,1
"Caldisphaera",0,170,0,1877,1,1
"Calditerrivibrio",1,169,0,1877,0.0830483634587201,0.732660266430438
"Caldithrix",1,169,0,1877,0.0830483634587201,0.732660266430438
"Caldivirga",0,170,0,1877,1,1
"Callevirus",0,170,0,1877,1,1
"Caloramator",3,167,2,1875,0.00496724547219373,0.112214590894558
"Caloranaerobacter",1,169,1,1876,0.159236915859511,1
"Calothrix",2,168,2,1875,0.0367886403337413,0.507887617940817
"Caminibacter",0,170,0,1877,1,1
"Caminicella",2,168,1,1876,0.0194523444131702,0.316977546667068
"Campanilevirus",0,170,0,1877,1,1
"Campylobacter",135,35,934,943,2.40267733475326e-14,3.41180181534963e-12
"Camvirus",0,170,0,1877,1,1
"Candidatus_Accumulibacter",0,170,0,1877,1,1
"Candidatus_Amoebophilus",0,170,0,1877,1,1
"Candidatus_Aquiluna",0,170,0,1877,1,1
"Candidatus_Arthromitus",0,170,0,1877,1,1
"Candidatus_Atelocyanobacterium",0,170,0,1877,1,1
"Candidatus_Azobacteroides",0,170,0,1877,1,1
"Candidatus_Babela",0,170,0,1877,1,1
"Candidatus_Blochmannia",0,170,0,1877,1,1
"Candidatus_Brocadia",0,170,0,1877,1,1
"Candidatus_Cardinium",0,170,0,1877,1,1
"Candidatus_Cloacimonas",0,170,0,1877,1,1
"Candidatus_Competibacter",0,170,0,1877,1,1
"Candidatus_Contendobacter",0,170,0,1877,1,1
"Candidatus_Desulforudis",0,170,0,1877,1,1
"Candidatus_Endolissoclinum",0,170,0,1877,1,1
"Candidatus_Evansia",0,170,0,1877,1,1
"Candidatus_Glomeribacter",0,170,0,1877,1,1
"Candidatus_Halobonum",0,170,0,1877,1,1
"Candidatus_Hamiltonella",0,170,0,1877,1,1
"Candidatus_Hepatobacter",0,170,0,1877,1,1
"Candidatus_Ishikawaella",0,170,0,1877,1,1
"Candidatus_Jettenia",0,170,0,1877,1,1
"Candidatus_Korarchaeum",0,170,0,1877,1,1
"Candidatus_Koribacter",0,170,0,1877,1,1
"Candidatus_Liberibacter",0,170,0,1877,1,1
"Candidatus_Magnetobacterium",0,170,0,1877,1,1
"Candidatus_Methanomethylophilus",0,170,0,1877,1,1
"Candidatus_Methanoperedens",0,170,0,1877,1,1
"Candidatus_Methanoplasma",0,170,0,1877,1,1
"Candidatus_Methylopumilus",0,170,0,1877,1,1
